model_name,strata,variable,year,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
MpoolPE_2024,EBS Slope,biomass_pred,2009,3415.5127407227023,2133.041474477846,5469.057878911987,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2010,4183.171849856612,2765.667484453862,6327.1983431834415,4370.413961,0.28125364310190376,2544.8418722044594,7505.581544820313
MpoolPE_2024,EBS Slope,biomass_pred,2011,4870.950198990766,2845.2209397453435,8338.950240950971,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2012,4988.879330915299,2902.666087730423,8574.502276937528,9302.529025,0.5675599138981376,3302.1699731260405,26206.115059257856
MpoolPE_2024,EBS Slope,biomass_pred,2013,4200.205186901193,2552.717693492055,6910.957548125208,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2014,4725.588021130492,2629.8818294532625,8491.325311789598,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2015,5316.6883882469165,3389.2014803743054,8340.364413684178,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2016,5935.0888088997,3854.770236297827,9138.100849133174,6267.297799,0.2868143010508738,3612.0381496769646,10874.475870323544
MpoolPE_2024,EBS Slope,biomass_pred,2017,6236.359997816503,3539.94080651658,10986.676938430803,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2018,6501.8231050104505,3318.792257275544,12737.676965520877,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2019,6778.586179060972,3523.862334571962,13039.451097778996,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2020,6125.221183809794,3056.3122570997766,12275.687624337996,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2021,5534.831830638418,2965.8977194905424,10328.867105609535,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2022,5288.993427653822,2529.8942911705108,11057.162180805102,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2023,5054.074330301507,2378.715092334143,10738.43076816214,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2024,5054.074330301507,1951.640054495422,13088.308613760591,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,1991,1773.5872213831756,713.5516152271331,4408.386954393485,1925.151322,0.6599948674588082,592.4145628013397,6256.104838262029
MpoolPE_2024,SBS,biomass_pred,1992,1738.6051183914237,689.3089862955301,4385.185479652085,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,1993,1704.3129998080892,690.9226789924721,4204.063478637808,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,1994,1670.6972564318082,720.6802132328977,3873.048366525288,1959.081933,0.775942249192918,510.13784461127335,7523.460689593776
MpoolPE_2024,SBS,biomass_pred,1995,1589.8544542843074,656.2305933578334,3851.751520565527,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,1996,1512.9235270344889,623.6709143523753,3670.104771570642,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,1997,1439.7151842964588,618.5210100983571,3351.1873938836375,2428.444677,0.971960023349896,491.0621440852841,12009.363010937835
MpoolPE_2024,SBS,biomass_pred,1998,1278.6445243685666,542.652263864184,3012.8535870384057,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,1999,1135.5939268617599,497.7311454845368,2590.9039014826444,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2000,1008.5473657052123,480.0419961000515,2118.9141723736243,645.311775,0.7328336167959862,178.5209156602626,2332.652649766486
MpoolPE_2024,SBS,biomass_pred,2001,981.2903691847362,462.08518795819924,2083.8815303939664,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2002,954.7700201283054,474.52260969217923,1921.0587076707398,1463.216216,0.6527874185946024,455.167575836772,4703.765840151027
MpoolPE_2024,SBS,biomass_pred,2003,835.830624962333,405.9221986589017,1721.0510682417043,NA,NA,NA,NA
