survey_definition_id,year,area_id,species_code,length_mm,sex,population_count,akfin_load_date
52,2002,99904,30576,310,female,37777,2024-10-24T16:20:42Z
52,2002,99904,30576,320,male,50166,2024-10-24T16:20:42Z
52,2002,99904,30576,320,female,21441,2024-10-24T16:20:42Z
52,2002,99904,30576,330,female,74365,2024-10-24T16:20:42Z
52,2002,99904,30576,340,male,40863,2024-10-24T16:20:42Z
52,2002,99904,30576,350,male,6945,2024-10-24T16:20:42Z
52,2002,99904,30576,350,female,21605,2024-10-24T16:20:42Z
52,2002,99904,30576,360,male,102345,2024-10-24T16:20:42Z
52,2002,99904,30576,360,female,51304,2024-10-24T16:20:42Z
52,2002,99904,30576,370,male,72115,2024-10-24T16:20:42Z
52,2002,99904,30576,370,female,92542,2024-10-24T16:20:42Z
52,2002,99904,30576,380,male,67291,2024-10-24T16:20:42Z
52,2002,99904,30576,380,female,75591,2024-10-24T16:20:42Z
52,2002,99904,30576,390,male,170537,2024-10-24T16:20:42Z
52,2002,99904,30576,390,female,162601,2024-10-24T16:20:42Z
52,2002,99904,30576,400,male,195882,2024-10-24T16:20:42Z
52,2002,99904,30576,400,female,201750,2024-10-24T16:20:42Z
52,2002,99904,30576,410,male,233498,2024-10-24T16:20:42Z
52,2002,99904,30576,410,female,112732,2024-10-24T16:20:42Z
52,2002,99904,30576,420,male,221789,2024-10-24T16:20:42Z
52,2002,99904,30576,420,female,218909,2024-10-24T16:20:42Z
52,2002,99904,30576,430,male,208090,2024-10-24T16:20:42Z
52,2002,99904,30576,430,female,230077,2024-10-24T16:20:42Z
52,2002,99904,30576,440,male,174216,2024-10-24T16:20:42Z
52,2002,99904,30576,440,female,284026,2024-10-24T16:20:42Z
52,2002,99904,30576,450,male,200267,2024-10-24T16:20:42Z
52,2002,99904,30576,450,female,218273,2024-10-24T16:20:42Z
52,2002,99904,30576,460,male,173325,2024-10-24T16:20:42Z
52,2002,99904,30576,460,female,162352,2024-10-24T16:20:42Z
52,2002,99904,30576,470,male,243382,2024-10-24T16:20:42Z
52,2002,99904,30576,470,female,203796,2024-10-24T16:20:42Z
52,2002,99904,30576,480,male,105244,2024-10-24T16:20:42Z
52,2002,99904,30576,480,female,207690,2024-10-24T16:20:42Z
52,2002,99904,30576,490,male,149041,2024-10-24T16:20:42Z
52,2002,99904,30576,490,female,164738,2024-10-24T16:20:42Z
52,2002,99904,30576,500,male,161935,2024-10-24T16:20:42Z
52,2002,99904,30576,500,female,254554,2024-10-24T16:20:42Z
52,2002,99904,30576,510,male,245823,2024-10-24T16:20:42Z
52,2002,99904,30576,510,female,69817,2024-10-24T16:20:42Z
52,2002,99904,30576,520,male,103399,2024-10-24T16:20:42Z
52,2002,99904,30576,520,female,204433,2024-10-24T16:20:42Z
52,2002,99904,30576,530,male,83683,2024-10-24T16:20:42Z
52,2002,99904,30576,530,female,122243,2024-10-24T16:20:42Z
52,2002,99904,30576,540,male,140395,2024-10-24T16:20:42Z
52,2002,99904,30576,540,female,170201,2024-10-24T16:20:42Z
52,2002,99904,30576,550,male,173421,2024-10-24T16:20:42Z
52,2002,99904,30576,550,female,99799,2024-10-24T16:20:42Z
52,2002,99904,30576,560,male,96344,2024-10-24T16:20:42Z
52,2002,99904,30576,560,female,161539,2024-10-24T16:20:42Z
52,2002,99904,30576,570,male,102125,2024-10-24T16:20:42Z
52,2002,99904,30576,570,female,93149,2024-10-24T16:20:42Z
52,2002,99904,30576,580,male,54632,2024-10-24T16:20:42Z
